	R4	R1	R2	R3	CF	RF	C3	C2	C1	C4
R4	393	179	241	255	187	279	220	195	119	215
R1	179	418	294	193	106	180	271	267	221	184
R2	241	294	473	235	127	237	292	282	212	202
R3	255	193	235	350	147	222	210	187	121	175
CF	187	106	127	147	230	207	124	103	50	161
RF	279	180	237	222	207	432	243	201	134	231
C3	220	271	292	210	124	243	536	376	304	202
C2	195	267	282	187	103	201	376	489	299	173
C1	119	221	212	121	50	134	304	299	476	113
C4	215	184	202	175	161	231	202	173	113	316
